Name;Sex;PeoplesCount;Origin
Afra;Female;17000;Arabic
Afra;Female;17000;Hebrew
Afra;Female;17000;Hebrew
Afra;Female;17000;African
Afraima;Female;2;Arabic
Afraima;Female;2;Hebrew
Afram;Male;1000;African
Afreda;Female;54;English
Afreda;Female;54;English
Afric;Female;2000;Celtic
Afric;Female;2000;Irish
Africa;Female;2000000;Gaelic
Africa;Female;2000000;Celtic
Africa;Female;2000000;Irish
Afrodille;Female;21;French
Afrodille;Female;21;French
Afton;Female;8000;English
Afua;Female;0;African
Afya;Female;1000;African
Agacia;Female;177;Spanish
Agafia;Female;262;Greek
Agafia;Female;262;Russian
Agalaia;Female;3;Greek
Agalia;Female;139;Greek
Agamedes;Male;12;Greek
Agamemnon;Male;657;Greek
Agana;Female;1000;Chamoru
Agapi;Female;2000;Greek
Agastya;Male;1000;Indian
Agata;Female;60000;Irish
Agata;Female;60000;Italian
Agate;Female;4000;Irish
Agate;Female;4000;French
Agatha;Female;31000;Greek
Agatha;Female;31000;German
Agathe;Female;12000;French
Agathe;Female;12000;German
Agathe;Female;12000;French
Agave;Female;3000;Greek
Agbenyaga;Female;2;African
Agdta;Female;44;Spanish
Age;Male;78000;Norse
Agenor;Male;2000;Greek
Ager;Male;4000;Basque
Ager;Male;4000;Hebrew
Aghaderg;Male;2;Irish
Aghadreena;Female;0;Irish
Aghamora;Female;1;Irish
Aghamore;Male;10;Irish
Aghaveagh;Female;0;Irish
Aghavilla;Female;1;Irish
Aghna;Female;248;Irish
Aghy;Male;218;Irish
Agiefan;Male;3;Anglo
Agiefan;Male;3;Anglo-Saxon
Agilberht;Male;1;Anglo
Agilberht;Male;1;Anglo-Saxon
Aglaeca;Male;12;Anglo
Aglaeca;Male;12;Anglo-Saxon
Aglaia;Female;1000;Greek
Aglaral;Male;0;Arthurian Legend
Aglarale;Male;1;Arthurian Legend
Aglauros;Female;2;Greek
Aglaval;Male;1;Arthurian Legend
Aglaval;Male;1;Arthurian
Agnella;Female;277;Italian
Agnes;Female;138000;Greek
Agnese;Female;13000;Spanish
Agneta;Female;5000;Danish
Agneya;Male;127;Indian
Agnimukha;Male;2;Indian
Agnola;Female;240;Italian
Agoston;Male;2000;Hungarian
Agotha;Female;48;Hungarian
Agramant;Male;8;French
Agravain;Male;11;Arthurian Legend
Agravain;Male;11;Arthurian
Agrican;Male;19;French
Agueda;Female;7000;Greek
Agueda;Female;7000;Spanish
Aguistin;Male;106;Irish
Agurtzane;Female;309;Basque
Agustin;Male;197000;Spanish
Agustine;Male;4000;German
Agyfen;Male;1;Anglo-Saxon
Agymah;Male;40;Egyptian
Ahalya;Female;609;Indian
Ahana;Female;1000;Irish
Ahane;Male;67;Irish
Ahanu;Male;58;Native
Ahanu;Male;58;Native American
Ahava;Female;1000;Hebrew
Ahava;Female;1000;Hebrew
Ahave;Female;12;Hebrew
Ahd;Female;4000;Arabic
Ahearn;Male;4000;Celtic
Ahearn;Male;4000;Irish
Aheawan;Male;0;Anglo
Aheawan;Male;0;Anglo-Saxon
Ahebban;Male;3;Anglo
Ahebban;Male;3;Anglo-Saxon
Ahelia;Female;30;Hebrew
Ahelie;Female;0;Hebrew
Ahern;Male;10000;Celtic
Ahern;Male;10000;Irish
Ahern;Male;10000;Gaelic
Ahiga;Male;35;Native American
Ahiga;Male;35;Native
Ahiliya;Male;55;Native
Ahisma;Female;20;Indian
Ahlam;Female;14000;Arabic
Ahmad;Male;640000;Arabic
Ahmad;Male;640000;Arabic
Ahmadou;Male;2000;African
Ahmar;Male;3000;Sanskrit
Ahmed;Male;1000000;Arabic
Ahmik;Male;44;Native American
Ahote;Male;33;Native
Ahote;Male;33;Native American
Ahreddan;Male;2;Anglo
Ahreddan;Male;2;Anglo-Saxon
Ahren;Male;1000;German
Ahriman;Male;309;French
Ahriman;Male;309;Indian
Ahsalom;Male;1;Hebrew
Ahtunowhiho;Male;4;Native
Ahtunowhiho;Male;4;Native American
Ahuda;Female;36;Hebrew
Ahuiliztli;Female;62;Nahuatl
Ahuiliztli;Male;62;Nahuatl
Ahura Mazda;Male;272;Persian
Ahuva;Female;685;Hebrew
Ai;Female;185000;Vietnamese
Aibhlin;Female;51;Gaelic
Aibhlin;Female;51;Irish
Aibne;Male;3;Scottish
Aida;Female;152000;Arabic
Aida;Female;152000;Italian
Aida;Female;152000;French
Aida;Female;152000;Spanish
Aida;Female;152000;English
Aidan;Male;44000;Anglo
Aidan;Male;44000;Irish
Aidan;Male;44000;Celtic
Aidan;Male;44000;Gaelic
Aidan;Female;44000;Gaelic
