GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Салаты корейские;Кальмары с морковью в марин.по-кор.100г Нуриев;28940487;Россия;Россия;Нуриев;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Канталупа натуральный лист;28719311;Тайланд;Тайланд;;Кг;;0.000000;0.000;18.0;5;0.000;0;0;0;0
Какао;Каппучино Ла Феста амаретто 12.5г;5900910000723;Россия;Россия;Ла Феста;ШТ 1;Кг;0.012500;0.000;18.0;0;0.000;0;0;0;0
Какао;Каппучино Ла Феста ваниль 12.5г;5900910000792;Россия;Россия;Ла Феста;ШТ 1;Кг;0.012500;0.000;18.0;0;0.000;0;0;0;0
Какао;Каппучино Ла Феста классич.12.5г;5900910001256;Россия;Россия;Ла Феста;ШТ 1;Кг;0.125000;0.000;18.0;0;0.000;0;0;0;0
Какао;Каппучино Ла Феста ореховый 12.5г;5900910000228;Россия;Россия;Ла Феста;ШТ 1;Кг;0.125000;0.000;18.0;0;0.000;0;0;0;0
Какао;Каппучино Ла Феста фентези крем 12.5г;5900910001003;Россия;Россия;Ла Феста;ШТ 1;Кг;0.125000;0.000;18.0;0;0.000;0;0;0;0
Какао;Каппучино Ла Феста шоколадный 12.5г;5900910000372;Россия;Россия;Ла Феста;ШТ 1;Кг;0.125000;0.000;18.0;0;0.000;0;0;0;0
Салаты корейские;Капуста красн/свекла по-корейски 100г;28970088;;;Нуриев;Штука;Кг;0.100000;0.000;18.0;0;0.000;0;0;0;0
Салаты корейские;Капуста по-корейски ассорти;28188216;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Салаты традиционные;Капуста с морковью Грин Крест;28879978;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Салаты корейские;Капуста с морковью ХС по-кор.150г;4601445100254;Россия;Россия;Хрустальная Снежинка;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Салаты корейские;Капуста Чим Чи по-корейск.со свеклой 100;28010883;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Каштаны целые 420гр стекло;26047720;Франция;Франция;;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Орехи;Кешью;28689201;США;США;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Кешью Аллегро сушен 130г;4607015920383;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Кешью Амро 120г;4603170003763;Россия;Россия;Амро;ШТ 1;Кг;0.120000;0.000;18.0;0;0.000;0;0;0;0
